PK_Date_ID,Date,Year,Month,Day_of_Week,Day_of_Month,Day_of_Year,Week_of_Year
PK20230630,2023-06-30,2023,June,Friday,30,181,26
PK20230629,2023-06-29,2023,June,Thursday,29,180,26
PK20230628,2023-06-28,2023,June,Wednesday,28,179,26
PK20230627,2023-06-27,2023,June,Tuesday,27,178,26
PK20230626,2023-06-26,2023,June,Monday,26,177,26
PK20230625,2023-06-25,2023,June,Sunday,25,176,25
PK20230624,2023-06-24,2023,June,Saturday,24,175,25
PK20230623,2023-06-23,2023,June,Friday,23,174,25
PK20230622,2023-06-22,2023,June,Thursday,22,173,25
PK20230621,2023-06-21,2023,June,Wednesday,21,172,25
PK20230620,2023-06-20,2023,June,Tuesday,20,171,25
PK20230619,2023-06-19,2023,June,Monday,19,170,25
PK20230618,2023-06-18,2023,June,Sunday,18,169,24
PK20230617,2023-06-17,2023,June,Saturday,17,168,24
PK20230616,2023-06-16,2023,June,Friday,16,167,24
PK20230615,2023-06-15,2023,June,Thursday,15,166,24
PK20230614,2023-06-14,2023,June,Wednesday,14,165,24
PK20230613,2023-06-13,2023,June,Tuesday,13,164,24
PK20230612,2023-06-12,2023,June,Monday,12,163,24
PK20230611,2023-06-11,2023,June,Sunday,11,162,23
